"SALK_Line","SALK_line","line","sown","germ","percent","comment","Gene_Family","Gene","Source","Line_ID","Sub_Family","Gene_Name","Alternate_Gene_Name","Genomic_Locus.BAC.","Genomic_Locus_Tag","GI","Refseq_ID","Entrez_Gene_ID","Genbank_Nucleotide_Accession","Genbank_Protein_Accession","Protein_Function","Comments","Gene_Family_Criteria","Similar_Seq_or_Common_Domain","TAIR_Community_Accession_Person","TAIR_Community_Accession_Lab","TAIR_Publication_Reference","Pubmed_ID","Web_Page_URL","Web_Page_Title","gene.family.size","GeneFamilyName","delfield","cntrl"
"SALK_000234C","SALK_000234C","000234C",14,11,78.57,"","MADS-box Transcription Factor Family","AT4G22950","salk","SALK_000234","NULL","AGL19","NULL","NULL","At4g22950","NULL","AF312664","NULL","NULL","NULL","MIKC","NULL","We exploited a hidden Markov model that produces a profile out of a multiple sequence alignment. A profile for MADS-box proteins was built to screen the Arabidopis genome to identify new members of this family. Only hits with a E value of <1 were considered to be members of the family. This analysis resulted in 107 MADS-box proteins, which could be sub-divided in type-I (Malpha, Mbeta, Mgamma) and type-II (MIKC, Mdelta) family members.","NULL","1501418015","NULL","501707748","12837945","NULL","NULL",62,"MADS-box Transcription Factor Family",0,"Treatments"
"SALK_001014C","SALK_001014C","001014C",11,12,100,"","basic region leucine zipper (bZIP) Transcription Factor","AT1G43700","salk","SALK_001014","NULL","BZIP51","VIP1","F2J6.6","AT1G43700","NULL","AF225983","NULL","NULL","NULL","VirE2-interacting protein VIP1; identical to GB:AAF37279 GI:7258340 from (Arabidopsis thaliana) ","NULL","Sequences encoding functionally charcterised basic-region leucine-zipper (bZIP) transcription factors were used to define a common motive in the bZIP DNA binding domain. With this motive, several databases have been searched manually. The 75 genes that were identified were subdivided into 11 groups according to the similarity of the aminoacid sequence within the bZIP domain and by taking into account additional conserved, group-specific amino acid motives. For more information please refer to the following article: Jakoby et al. (2002) bZIP transcription factors in Arabidopsis. Trends in Plant Science 3: 106-111","NULL","10799;6272","NULL","1547369","11906833","NULL","NULL",46,"basic region leucine zipper (bZIP) Transcription Factor",0,"Treatments"
"SALK_002098C","SALK_002098C","002098C",16,8,50,"","Homeobox Transcription Factor Family","AT1G62990","salk","SALK_002098","NULL","KNAT7","NULL","NULL","At1g62990","NULL","NULL","NULL","NULL","NULL","NULL","homeodomain-containing protein HD1, putative","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_004048C","SALK_004048c","004048c",11,13,100,"","basic region leucine zipper (bZIP) Transcription Factor","AT2G40950","salk","SALK_004048","NULL","BZIP17","NULL","T20B5.15","AT2G40950","NULL","AY136295","NULL","NULL","NULL","bZIP family transcription factor; similar to AtbZIP transcription factor GI:17065880 from (Arabidopsis thaliana); contains Pfam profile: bZIP transcription factor PF00170 ","NULL","Sequences encoding functionally charcterised basic-region leucine-zipper (bZIP) transcription factors were used to define a common motive in the bZIP DNA binding domain. With this motive, several databases have been searched manually. The 75 genes that were identified were subdivided into 11 groups according to the similarity of the aminoacid sequence within the bZIP domain and by taking into account additional conserved, group-specific amino acid motives. For more information please refer to the following article: Jakoby et al. (2002) bZIP transcription factors in Arabidopsis. Trends in Plant Science 3: 106-111","NULL","10799;6272","NULL","1547369","11906833","NULL","NULL",46,"basic region leucine zipper (bZIP) Transcription Factor",0,"Treatments"
"SALK_004073C","SALK_004073C","004073C",12,11,91.67,"","Homeobox Transcription Factor Family","AT1G70510","salk","SALK_004073","NULL","KNAT2","ATK1","NULL","At1g70510","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_005336C","SALK_005336c","005336c",11,5,45.45,"","basic region leucine zipper (bZIP) Transcription Factor","AT4G35040","salk","SALK_005336","NULL","BZIP19","NULL","T12J5.11","AT4G35040","NULL","AY072386","NULL","NULL","NULL","bZIP protein ","NULL","Sequences encoding functionally charcterised basic-region leucine-zipper (bZIP) transcription factors were used to define a common motive in the bZIP DNA binding domain. With this motive, several databases have been searched manually. The 75 genes that were identified were subdivided into 11 groups according to the similarity of the aminoacid sequence within the bZIP domain and by taking into account additional conserved, group-specific amino acid motives. For more information please refer to the following article: Jakoby et al. (2002) bZIP transcription factors in Arabidopsis. Trends in Plant Science 3: 106-111","NULL","10799;6272","NULL","1547369","11906833","NULL","NULL",46,"basic region leucine zipper (bZIP) Transcription Factor",0,"Treatments"
"SALK_006054C","SALK_006054c","006054c",18,10,55.56,"","MADS-box Transcription Factor Family","AT2G45660","salk","SALK_006054","NULL","AGL20","SOC1","NULL","At2g45660","NULL","AY007726","NULL","NULL","NULL","MIKC","NULL","We exploited a hidden Markov model that produces a profile out of a multiple sequence alignment. A profile for MADS-box proteins was built to screen the Arabidopis genome to identify new members of this family. Only hits with a E value of <1 were considered to be members of the family. This analysis resulted in 107 MADS-box proteins, which could be sub-divided in type-I (Malpha, Mbeta, Mgamma) and type-II (MIKC, Mdelta) family members.","NULL","1501418015","NULL","501707748","12837945","NULL","NULL",62,"MADS-box Transcription Factor Family",0,"Treatments"
"SALK_006954C","SALK_006954c","006954c",13,13,100,"","Glycoside Hydrolase Gene Families","AT1G65610","salk","SALK_006954","Glycoside Hydrolase Family 9","NULL","NULL","NULL","At1g65610","NULL","AAB60922.1","NULL","NULL","NULL","endo-1,4-beta-glucanase, putative","NULL","NULL","NULL","912146;912144;1012667","NULL","NULL","NULL","http://www.cazy.org/fam/acc_GH.html","Glycoside Hydrolases Family Server",258,"Glycoside Hydrolase Gene Families",0,"Treatments"
"SALK_008202C","SALK_008202c","008202c",12,13,100,"","Glycoside Hydrolase Gene Families","AT5G10560","salk","SALK_008202","Glycoside Hydrolase Family 3","NULL","NULL","NULL","AT5g10560","NULL","CAB89387.1","NULL","NULL","NULL","beta-xylosidase - like protein","NULL","NULL","NULL","912146;912144;1012667","NULL","NULL","NULL","http://www.cazy.org/fam/acc_GH.html","Glycoside Hydrolases Family Server",258,"Glycoside Hydrolase Gene Families",0,"Treatments"
"SALK_008897C","SALK_008897c","008897c",11,0,0,"","MADS-box Transcription Factor Family","AT5G27960","salk","SALK_008897","NULL","AGL90","NULL","NULL","At5g27960","NULL","AY141249","NULL","NULL","NULL","M gamma","NULL","We exploited a hidden Markov model that produces a profile out of a multiple sequence alignment. A profile for MADS-box proteins was built to screen the Arabidopis genome to identify new members of this family. Only hits with a E value of <1 were considered to be members of the family. This analysis resulted in 107 MADS-box proteins, which could be sub-divided in type-I (Malpha, Mbeta, Mgamma) and type-II (MIKC, Mdelta) family members.","NULL","1501418015","NULL","501707748","12837945","NULL","NULL",62,"MADS-box Transcription Factor Family",0,"Treatments"
"SALK_008924C","SALK_008924c","008924c",11,11,100,"","Homeobox Transcription Factor Family","AT2G34710","salk","SALK_008924","NULL","Athb-14","PHB","NULL","At2g34710","NULL","NULL","NULL","NULL","NULL","NULL","HD-Zip transcription factor, Athb-14","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_008986C","SALK_008986c","008986c",11,12,100,"","Glutathione S-transferase Family","AT1G77290","salk","SALK_008986","Tetrachlorohydroquinone dehalogenase-like family","AtTCHQD1","NULL","T14N5.14","AT1g77290","17381155","AY064034","NULL","NULL","NULL","tetrachloro-p-hydroquinone reductive dehalogenase-related","NULL","Members of the GST gene family were identified on the basis of sequence homology to known GSTs.  Protein sequences of approximately ten known GSTs were used as queries to identify Arabidopsis GSTs using BLAST.  These new putative GSTs were then used as queries until no new sequences were identified.  The 53 GSTs were subdivided into 7 groups based on phylogenetic analysis and intro:exon structure.","NULL","1501414806; 1501414127; 6670","NULL","501712407; 501712967; 501681713; 501681522","15159623|15276449|12090627|12077129","http://www.mitoz.bcs.uwa.edu.au/AtGST/","The Arabidopsis thaliana GST Superfamily",30,"Glutathione S-transferase Family",0,"Treatments"
"SALK_009120C","SALK_009120c","009120c",13,8,61.54,"","Homeobox Transcription Factor Family","AT4G36870","salk","SALK_009120","NULL","BLH2","NULL","NULL","At4g36870","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_011077C","SALK_011077c","011077c",13,10,76.92,"","MADS-box Transcription Factor Family","AT5G15800","salk","SALK_011077","NULL","AGL2","1-Sep","NULL","At5g15800","NULL","M55551","NULL","NULL","NULL","MIKC","NULL","We exploited a hidden Markov model that produces a profile out of a multiple sequence alignment. A profile for MADS-box proteins was built to screen the Arabidopis genome to identify new members of this family. Only hits with a E value of <1 were considered to be members of the family. This analysis resulted in 107 MADS-box proteins, which could be sub-divided in type-I (Malpha, Mbeta, Mgamma) and type-II (MIKC, Mdelta) family members.","NULL","1501418015","NULL","501707748","12837945","NULL","NULL",62,"MADS-box Transcription Factor Family",0,"Treatments"
"SALK_011213C","SALK_011213c","011213c",11,10,90.91,"","Acyl Lipid Metabolism Family","AT5G07360","salk","SALK_011213","Fatty Acid Amide Hydrolase ","NULL","NULL","T2I1.70","At5g07360","NULL","NULL","NULL","NULL","NULL","amidase -related","NULL","NULL","NULL","612141;2760","NULL","501706969","12805597","http://www.plantbiology.msu.edu/lipids/genesurvey/index.htm","NULL",385,"Acyl Lipid Metabolism Family",0,"Treatments"
"SALK_011841C","SALK_011841c","011841c",13,12,92.31,"","MADS-box Transcription Factor Family","AT4G02235","salk","SALK_011841","NULL","AGL51","NULL","NULL","At4g02235","NULL","AY141215","NULL","NULL","NULL","M beta","NULL","We exploited a hidden Markov model that produces a profile out of a multiple sequence alignment. A profile for MADS-box proteins was built to screen the Arabidopis genome to identify new members of this family. Only hits with a E value of <1 were considered to be members of the family. This analysis resulted in 107 MADS-box proteins, which could be sub-divided in type-I (Malpha, Mbeta, Mgamma) and type-II (MIKC, Mdelta) family members.","NULL","1501418015","NULL","501707748","12837945","NULL","NULL",62,"MADS-box Transcription Factor Family",0,"Treatments"
"SALK_013968C","SALK_013968c","013968c",17,3,17.65,"","Leucine-rich repeat extensin","AT4G18670","salk","SALK_013968","Leucine-rich repeat extensin","AtLRX5","NULL","F28A21","At4g18670","NM_117983 ","NP_193602.1","NULL","NULL","NULL","cell wall protein","NULL","defined by signal peptide for protein export, leucine-rich repeat domain, and extensin (hydroxyproline-rich glycoprotein domain) and specifically expressed in pollen (PEX)","NULL","912379","NULL","501683540","12644681","NULL","NULL",9,"Leucine-rich repeat extensin",0,"Treatments"
"SALK_015609C","SALK_015609c","015609c",12,8,66.67,"","C3H Transcription Factor Family","AT4G26580","salk","SALK_015609","NULL","NULL","NULL","NULL","At4g26580","NULL","NULL","NULL","NULL","NULL","NULL","putative protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_016682C","SALK_016682c","016682c",11,7,63.64,"","Homeobox Transcription Factor Family","AT5G03790","salk","SALK_016682","NULL","NULL","NULL","NULL","At5g03790","NULL","NULL","NULL","NULL","NULL","NULL","homeodomain protein","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_016764C","SALK_016764C","016764C",12,11,91.67,"","C3H Transcription Factor Family","AT4G13100","salk","SALK_016764","NULL","NULL","NULL","NULL","At4g13100","NULL","NULL","NULL","NULL","NULL","NULL","RING finger protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_017933C","SALK_017933c","017933c",12,10,83.33,"","Glycoside Hydrolase Gene Families","AT3G62710","salk","SALK_017933","Glycoside Hydrolase Family 3","NULL","NULL","NULL","AT3g62710","NULL","CAB83121.1","NULL","NULL","NULL","beta-D-glucan exohydrolase-like protein","NULL","NULL","NULL","912146;912144;1012667","NULL","NULL","NULL","http://www.cazy.org/fam/acc_GH.html","Glycoside Hydrolases Family Server",258,"Glycoside Hydrolase Gene Families",0,"Treatments"
"SALK_018248C","SALK_018248C","018248C",11,11,100,"","basic region leucine zipper (bZIP) Transcription Factor","AT2G16770","salk","SALK_018248","NULL","BZIP23","NULL","T24I21.18","AT2G16770","NULL","AK117479","NULL","NULL","NULL","bZIP protein ","NULL","Sequences encoding functionally charcterised basic-region leucine-zipper (bZIP) transcription factors were used to define a common motive in the bZIP DNA binding domain. With this motive, several databases have been searched manually. The 75 genes that were identified were subdivided into 11 groups according to the similarity of the aminoacid sequence within the bZIP domain and by taking into account additional conserved, group-specific amino acid motives. For more information please refer to the following article: Jakoby et al. (2002) bZIP transcription factors in Arabidopsis. Trends in Plant Science 3: 106-111","NULL","10799;6272","NULL","1547369","11906833","NULL","NULL",46,"basic region leucine zipper (bZIP) Transcription Factor",0,"Treatments"
"SALK_019565C","SALK_019565c","019565c",12,11,91.67,"","MADS-box Transcription Factor Family","AT2G22630","salk","SALK_019565","NULL","AGL17","NULL","NULL","At2g22630","NULL","NM_127828","NULL","NULL","NULL","MIKC","NULL","We exploited a hidden Markov model that produces a profile out of a multiple sequence alignment. A profile for MADS-box proteins was built to screen the Arabidopis genome to identify new members of this family. Only hits with a E value of <1 were considered to be members of the family. This analysis resulted in 107 MADS-box proteins, which could be sub-divided in type-I (Malpha, Mbeta, Mgamma) and type-II (MIKC, Mdelta) family members.","NULL","1501418015","NULL","501707748","12837945","NULL","NULL",62,"MADS-box Transcription Factor Family",0,"Treatments"
"SALK_019635C","SALK_019635c","019635c",10,5,50,"","Homeobox Transcription Factor Family","AT1G34650","salk","SALK_019635","NULL","NULL","NULL","NULL","At1g34650","NULL","NULL","NULL","NULL","NULL","NULL","homeodomain protein","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_021006C","SALK_021006c","021006c",13,13,100,"","C3H Transcription Factor Family","AT1G74990","salk","SALK_021006","NULL","NULL","NULL","NULL","At1g74990","NULL","NULL","NULL","NULL","NULL","NULL","putative RING zinc finger protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_023712C","SALK_023712c","023712c",13,13,100,"1 tricot","C3H Transcription Factor Family","AT2G37950","salk","SALK_023712","NULL","NULL","NULL","NULL","At2g37950","NULL","NULL","NULL","NULL","NULL","NULL","unknown protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_023733C","SALK_023733c","023733c",13,7,53.85,"","Homeobox Transcription Factor Family","AT4G32880","salk","SALK_023733","NULL","Athb-8","NULL","NULL","At4g32880","NULL","NULL","NULL","NULL","NULL","NULL","HD-Zip transcription factor, Athb-8","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_024341","SALK_024341","024341-bult-t4",25,23,92,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"SALK_025133C","SALK_025133c","025133c",12,8,66.67,"","C3H Transcription Factor Family","AT2G03000","salk","SALK_025133","NULL","NULL","NULL","NULL","At2g03000","NULL","NULL","NULL","NULL","NULL","NULL","putative protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_027691C","SALK_027691c","027691c",15,14,93.33,"","bZIP Transcription Factor Family","AT4G36730","salk","SALK_027691","NULL","AtbZIP41","GBF1","NULL","At4g36730","NULL","NULL","NULL","NULL","NULL","NULL","G-box-binding factor 1","Family information was taken from TAIR website directly","NULL","NULL","1501423724","1547369","11906833","http://arabidopsis.med.ohio-state.edu/","AGRIS",45,"bZIP Transcription Factor Family",0,"Treatments"
"SALK_027697C","SALK_027697c","027697c",14,11,78.57,"","C3H Transcription Factor Family","AT1G50440","salk","SALK_027697","NULL","NULL","NULL","NULL","At1g50440","NULL","NULL","NULL","NULL","NULL","NULL","expressed protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_030336C","SALK_030336c","030336c",13,7,53.85,"","Homeobox Transcription Factor Family","AT1G75430","salk","SALK_030336","NULL","NULL","NULL","NULL","At1g75430","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_030664C","SALK_030664c","030664c",NA,11,NA,"","Leucine-rich repeat extensin","AT4G33970","salk","SALK_030664","pollen-expressed leucine-rich repeat extensin","AtPEX4","NULL","F17I5","At4g33970","NM_119558 ","NP_195123.1","NULL","NULL","NULL","cell wall protein","NULL","defined by signal peptide for protein export, leucine-rich repeat domain, and extensin (hydroxyproline-rich glycoprotein domain) and specifically expressed in pollen (PEX)","NULL","912379","NULL","501683540","12644681","NULL","NULL",9,"Leucine-rich repeat extensin",0,"Treatments"
"SALK_031536C","SALK_031536c","031536c",14,9,64.29,"","Leucine-rich repeat extensin","AT3G19020","salk","SALK_031536","pollen-expressed leucine-rich repeat extensin","AtPEX1","NULL","K13E13","At3g19020","NM_112788 ","NP_188532.2","NULL","NULL","NULL","cell wall protein","NULL","defined by signal peptide for protein export, leucine-rich repeat domain, and extensin (hydroxyproline-rich glycoprotein domain) and specifically expressed in pollen (PEX)","NULL","912379","NULL","501683540","12644681","NULL","NULL",9,"Leucine-rich repeat extensin",0,"Treatments"
"SALK_031830C","SALK_031830c","031830c",13,12,92.31,"","basic region leucine zipper (bZIP) Transcription Factor","AT1G68640","salk","SALK_031830","NULL","BZIP46","PAN","F24J5.12","AT1G68640","NULL","AF111711","NULL","NULL","NULL","\"bZIP transcription factor, PERIANTHIA; identical to transcription factor PERIANTHIA GB:AAD19660 GI:4378757 from (Arabidopsis thaliana)\" ","NULL","Sequences encoding functionally charcterised basic-region leucine-zipper (bZIP) transcription factors were used to define a common motive in the bZIP DNA binding domain. With this motive, several databases have been searched manually. The 75 genes that were identified were subdivided into 11 groups according to the similarity of the aminoacid sequence within the bZIP domain and by taking into account additional conserved, group-specific amino acid motives. For more information please refer to the following article: Jakoby et al. (2002) bZIP transcription factors in Arabidopsis. Trends in Plant Science 3: 106-111","NULL","10799;6272","NULL","1547369","11906833","NULL","NULL",46,"basic region leucine zipper (bZIP) Transcription Factor",0,"Treatments"
"SALK_033323C","SALK_033323c","033323c",14,11,78.57,"","Homeobox Transcription Factor Family","AT2G01500","salk","SALK_033323","NULL","WOX6","PFS2","NULL","At2g01500","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_033462C","SALK_033462c","033462c",14,12,85.71,"","Homeobox Transcription Factor Family","AT2G32370","salk","SALK_033462","NULL","NULL","NULL","NULL","At2g32370","NULL","NULL","NULL","NULL","NULL","NULL","homeodomain protein","Families were found through a domain search and blast technique. Publications were found through PubMed and the conserved domain motif that characterizes each TF family was identified. Using the motif, a Blast was conducted in the TAIR website, the resultant sequences were then aligned and mismatches were discarded.","NULL","NULL","1501423724","5412;5160;2181;3555;501715136;5522;501680707;501711727","11374882;15473837;14711878;11090618;9767075;9747806;9336443;8989876;8106082;1349174;1675603","http://arabidopsis.med.ohio-state.edu/","AGRIS",60,"Homeobox Transcription Factor Family",0,"Treatments"
"SALK_033666C","SALK_033666c","033666c",11,12,100,"","C3H Transcription Factor Family","AT1G18470","salk","SALK_033666","NULL","NULL","NULL","NULL","At1g18470","NULL","NULL","NULL","NULL","NULL","NULL","hypothetical protein","A few representative proteins were used to perform a Blast on the TAIR website. The resultant sequences with an E-value smaller than 10-5 were considered a good match, then the last sequence was used in a subsequent Blast, and so forth until all similar s","NULL","NULL","1501423724","1345963","11118137","http://arabidopsis.med.ohio-state.edu/","AGRIS",96,"C3H Transcription Factor Family",0,"Treatments"
"SALK_033801","SALK_033801","033801-bulk-t4",19,23,100,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
